Latitude,Longitude,Time,SMCI
36.20000076,103.3000031,2019-08-07 00:00:00,249
36.20000076,103.3000031,2019-08-08 00:00:00,200
36.20000076,103.3000031,2019-08-09 00:00:00,272
36.20000076,103.3000031,2019-08-10 00:00:00,201
36.20000076,103.3000031,2019-08-11 00:00:00,201
36.20000076,103.3000031,2019-08-12 00:00:00,201
36.20000076,103.3000031,2019-08-13 00:00:00,202
36.20000076,103.3000031,2019-08-14 00:00:00,256
36.20000076,103.3000031,2019-08-15 00:00:00,201
36.20000076,103.3000031,2019-08-16 00:00:00,200
36.20000076,103.3000031,2019-08-17 00:00:00,204
36.20000076,103.3000031,2019-08-18 00:00:00,215
36.20000076,103.3000031,2019-08-19 00:00:00,222
36.20000076,103.3000031,2019-08-20 00:00:00,222
36.20000076,103.3000031,2019-08-21 00:00:00,213
36.20000076,103.3000031,2019-08-22 00:00:00,190
36.20000076,103.3000031,2019-08-23 00:00:00,204
36.20000076,103.3000031,2019-08-24 00:00:00,257
36.20000076,103.3000031,2019-08-25 00:00:00,221
36.20000076,103.3000031,2019-08-26 00:00:00,311
36.20000076,103.3000031,2019-08-27 00:00:00,295
36.20000076,103.3000031,2019-08-28 00:00:00,290
36.20000076,103.3000031,2019-08-29 00:00:00,286
36.20000076,103.3000031,2019-08-30 00:00:00,285
36.20000076,103.3000031,2019-08-31 00:00:00,298
36.20000076,103.3000031,2019-09-01 00:00:00,292
36.20000076,103.3000031,2019-09-02 00:00:00,287
36.20000076,103.3000031,2019-09-03 00:00:00,268
36.20000076,103.3000031,2019-09-04 00:00:00,265
36.20000076,103.3000031,2019-09-05 00:00:00,261
36.20000076,103.3000031,2019-09-06 00:00:00,262
36.20000076,103.3000031,2019-09-07 00:00:00,262
36.20000076,103.3000031,2019-09-08 00:00:00,261
36.20000076,103.3000031,2019-09-09 00:00:00,315
36.20000076,103.3000031,2019-09-10 00:00:00,319
36.20000076,103.3000031,2019-09-11 00:00:00,298
36.20000076,103.3000031,2019-09-12 00:00:00,295
36.20000076,103.3000031,2019-09-13 00:00:00,319
36.20000076,103.3000031,2019-09-14 00:00:00,300
36.20000076,103.3000031,2019-09-15 00:00:00,292
36.20000076,103.3000031,2019-09-16 00:00:00,294
36.20000076,103.3000031,2019-09-17 00:00:00,303
36.20000076,103.3000031,2019-09-18 00:00:00,299
36.20000076,103.3000031,2019-09-19 00:00:00,321
36.20000076,103.3000031,2019-09-20 00:00:00,323
36.20000076,103.3000031,2019-09-21 00:00:00,310
36.20000076,103.3000031,2019-09-22 00:00:00,296
36.20000076,103.3000031,2019-09-23 00:00:00,292
36.20000076,103.3000031,2019-09-24 00:00:00,286
36.20000076,103.3000031,2019-09-25 00:00:00,287
36.20000076,103.3000031,2019-09-26 00:00:00,287
36.20000076,103.3000031,2019-09-27 00:00:00,272
36.20000076,103.3000031,2019-09-28 00:00:00,246
36.20000076,103.3000031,2019-09-29 00:00:00,245
36.20000076,103.3000031,2019-09-30 00:00:00,244
36.20000076,103.3000031,2019-10-01 00:00:00,249
36.20000076,103.3000031,2019-10-02 00:00:00,251
36.20000076,103.3000031,2019-10-03 00:00:00,250
36.20000076,103.3000031,2019-10-04 00:00:00,228
36.20000076,103.3000031,2019-10-05 00:00:00,240
36.20000076,103.3000031,2019-10-06 00:00:00,229
36.20000076,103.3000031,2019-10-07 00:00:00,252
36.20000076,103.3000031,2019-10-08 00:00:00,251
36.20000076,103.3000031,2019-10-09 00:00:00,251
36.20000076,103.3000031,2019-10-10 00:00:00,229
36.20000076,103.3000031,2019-10-11 00:00:00,251
36.20000076,103.3000031,2019-10-12 00:00:00,252
36.20000076,103.3000031,2019-10-13 00:00:00,251
36.20000076,103.3000031,2019-10-14 00:00:00,247
36.20000076,103.3000031,2019-10-15 00:00:00,228
36.20000076,103.3000031,2019-10-16 00:00:00,280
36.20000076,103.3000031,2019-10-17 00:00:00,271
36.20000076,103.3000031,2019-10-18 00:00:00,263
36.20000076,103.3000031,2019-10-19 00:00:00,236
36.20000076,103.3000031,2019-10-20 00:00:00,232
36.20000076,103.3000031,2019-10-21 00:00:00,232
36.20000076,103.3000031,2019-10-22 00:00:00,252
36.20000076,103.3000031,2019-10-23 00:00:00,232
36.20000076,103.3000031,2019-10-24 00:00:00,275
36.20000076,103.3000031,2019-10-25 00:00:00,230
36.20000076,103.3000031,2019-10-26 00:00:00,230
36.20000076,103.3000031,2019-10-27 00:00:00,229
36.20000076,103.3000031,2019-10-28 00:00:00,229
36.20000076,103.3000031,2019-10-29 00:00:00,229
36.20000076,103.3000031,2019-10-30 00:00:00,229
36.20000076,103.3000031,2019-10-31 00:00:00,232
36.20000076,103.3000031,2019-11-01 00:00:00,231
36.20000076,103.3000031,2019-11-02 00:00:00,229
36.20000076,103.3000031,2019-11-03 00:00:00,228
36.20000076,103.3000031,2019-11-04 00:00:00,228
36.20000076,103.3000031,2019-11-05 00:00:00,212
36.20000076,103.3000031,2019-11-06 00:00:00,232
36.20000076,103.3000031,2019-11-07 00:00:00,211
36.20000076,103.3000031,2019-11-08 00:00:00,203
36.20000076,103.3000031,2019-11-09 00:00:00,216
36.20000076,103.3000031,2019-11-10 00:00:00,225
36.20000076,103.3000031,2019-11-11 00:00:00,191
36.20000076,103.3000031,2019-11-12 00:00:00,193
36.20000076,103.3000031,2019-11-13 00:00:00,225
36.20000076,103.3000031,2019-11-14 00:00:00,223
36.20000076,103.3000031,2019-11-15 00:00:00,224
36.20000076,103.3000031,2019-11-16 00:00:00,223
36.20000076,103.3000031,2019-11-17 00:00:00,213
